"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 19 23:32:00 EDT 2022","Fri Aug 19 23:32:00 EDT 2022","7","","testing watches","","testing watches","baner has text","baner has text",""
"passed","Fri Aug 19 23:32:00 EDT 2022","Fri Aug 19 23:32:00 EDT 2022","13","","testing watches","","testing watches","click button and verify url","click button and verify url",""
"passed","Fri Aug 19 23:31:41 EDT 2022","Fri Aug 19 23:31:49 EDT 2022","8214","","login credentials","","login credentials","should login","should login",""
"failed","Fri Aug 19 22:21:53 EDT 2022","Fri Aug 19 22:21:55 EDT 2022","2136","","testing web","","testing web","should search","should search",""
"passed","Thu Aug 18 23:53:20 EDT 2022","Thu Aug 18 23:53:25 EDT 2022","4714","","should scroll","","should scroll","Sample start scroll","Sample start scroll",""
"passed","Fri Aug 19 23:31:49 EDT 2022","Fri Aug 19 23:31:52 EDT 2022","2542","","Log out","","Log out","Should Log out","Should Log out",""
"passed","Tue Aug 16 23:01:50 EDT 2022","Tue Aug 16 23:01:53 EDT 2022","2887","","login credentials","","login credentials","should login","should login",""
"passed","Fri Aug 19 23:31:45 EDT 2022","Fri Aug 19 23:31:50 EDT 2022","5230","","should scroll","","should scroll","Sample start scroll","Sample start scroll",""
"passed","Fri Aug 19 23:32:00 EDT 2022","Fri Aug 19 23:32:00 EDT 2022","9","","testing watches","","testing watches","baner button is clickable","baner button is clickable",""
"passed","Tue Aug 16 23:01:51 EDT 2022","Tue Aug 16 23:01:57 EDT 2022","6059","","New In","","New In","Sample","Sample",""
"passed","Fri Aug 19 22:21:53 EDT 2022","Fri Aug 19 22:21:53 EDT 2022","23","","testing web","","testing web","should search in web ebay","should search in web ebay",""
"passed","Fri Aug 19 23:32:00 EDT 2022","Fri Aug 19 23:32:00 EDT 2022","8","","testing watches","","testing watches","baner contain link-button have fashion","baner contain link-button have fashion",""
"passed","Fri Aug 19 23:31:40 EDT 2022","Fri Aug 19 23:31:40 EDT 2022","8","","testing web","","testing web","select text from dropdown","select text from dropdown",""
"passed","Fri Aug 19 23:32:00 EDT 2022","Fri Aug 19 23:32:00 EDT 2022","7","","testing watches","","testing watches","baner contain partial-text","baner contain partial-text",""
"passed","Fri Aug 19 23:31:40 EDT 2022","Fri Aug 19 23:31:40 EDT 2022","43","","testing web","","testing web","search input text and click btn","search input text and click btn",""
"passed","Fri Aug 19 23:32:00 EDT 2022","Fri Aug 19 23:32:00 EDT 2022","24","","testing watches","","testing watches","should baner container in webpage","should baner container in webpage",""
"passed","Fri Aug 19 23:31:40 EDT 2022","Fri Aug 19 23:31:40 EDT 2022","4","","testing web","","testing web","change page and read title","change page and read title",""
"passed","Fri Aug 19 23:31:45 EDT 2022","Fri Aug 19 23:31:54 EDT 2022","8457","","New In","","New In","Sample","Sample",""
"passed","Fri Aug 19 23:31:40 EDT 2022","Fri Aug 19 23:31:40 EDT 2022","90","","testing web","","testing web","should read title in webpage","should read title in webpage",""
